Word,Ocurrences
cuanto,365
muerte,362
diga,360
denver,359
llevas,359
novia,359
arriba,358
bosque,358
sale,357
dormir,357
lara,356
andrea,356
demás,355
hice,355
mientras,354
boca,353
lleva,353
chicas,351
llamo,350
río,348
adiós,346
guapa,345
vámonos,344
medio,343
pensado,343
mala,342
hostia,342
laura,342
chaval,341
seas,341
perder,340
malo,339
hospital,339
respira,339
nairobi,339
sacar,338
berto,338
difícil,338
ruido,337
canción,336
llamado,335
pase,335
forma,335
hablamos,335
ojos,334
apetece,334
ayudar,334
foto,333
pruebas,333
metido,333
nueva,333
álvaro,333
polo,332
problemas,331
debe,331
demasiado,330
evelyn,330
examen,330
morir,329
tipo,328
bastante,328
segundo,326
lugar,325
justo,324
quieren,323
acaba,323
conozco,322
podía,322
sangre,321
mensaje,321
juego,320
podido,320
cambio,319
perdido,319
risas,319
pone,318
marido,317
loca,316
pedido,316
vienes,316
pregunta,313
verte,313
beso,311
llamada,311
seguridad,311
diez,310
dicen,309
deberías,309
lista,307
salido,306
cuál,306
siete,306
golpe,305
pedir,305
llegado,305
necesitas,304
encontrar,303
fui,303
isaac,302
acabó,301
jan,301
vayas,301
voz,301
pensé,301
prueba,300
cierto,300
semana,299
doy,299
oído,298
piensas,297
comer,297
buscar,297
carol,297
piensa,296
entiendes,296
médico,296
susurra,296
gritos,296
dejas,296
personas,295
acabar,294
pronto,294
libre,292
carolina,292
jugar,292
conseguir,292
adónde,291
dejo,290
primer,288
ander,288
vaquero,288
muchos,287
abre,287
rizos,286
jadea,285
esperando,285
nina,285
capaz,284
año,281
necesita,281
noches,280
hacen,280
sois,280
darle,280
lucía,279
decirte,278
arturo,275
historia,274
corre,274
berlín,273
esperar,273
coronel,273
último,273
pasta,272
cuentas,272
cambiar,271
rápido,271
perfecto,271
noiret,271
imposible,271
detrás,271
fondo,270
despacho,268
hiciste,268
rollo,268
peter,267
prometo,266
vemos,266
anoche,266
significa,266
ferro,265
siendo,265
par,265
seis,265
dale,265
cuento,264
bonito,263
matado,262
dejes,261
necesitamos,261
tema,260
mitad,260
nadia,259
trabajar,257
pistola,257
loco,257
segura,257
sole,257
relación,256
hablas,256
sabéis,256
derecho,255
accidente,255
alegro,255
podéis,254
ángel,254
millones,254
cuerpo,254
habría,254
llaman,254
echar,254
tengas,253
boda,253
pido,253
alicia,253
tuya,252
imbécil,252
jefe,252
marta,252
podrías,251
dio,250
juez,250
vivo,249
atrás,248
ari,248
gran,248
adelante,248
física,247
medicina,247
oh,246
adan,245
helsinki,244
toca,244
chao,244
pueda,244
debo,244
profesora,243
dé,243
tenga,243
gime,243
meter,243
número,243
centro,242
mírame,242
disparo,242
otros,242
queremos,242
pagar,242
hombres,240
guapo,240
cago,240
grande,240
curso,239
rebeca,239
resto,239
señora,238
déjalo,238
sentido,238
ibas,237
mil,237
mateo,237
lorenzo,237
medicinas,236
acuerdas,236
suelo,236
tere,236
bandeira,236
e,235
debería,235
asesino,235
lejos,235
di,234
conoces,234
vuelta,234
jodas,233
cállate,232
germán,232
café,232
fabio,232
estés,231
orden,231
oro,231
cerca,231
pareja,231
baja,230
rubén,229
arma,229
quedan,228
situación,228
lío,228
curro,227
posible,227
sandoval,227
ropa,227
miguel,227
vídeo,226
saben,226
perdóname,226
directora,226
química,225
mató,224
tendrás,224
castillo,224
hacía,224
estábamos,224
muchísimo,224
queréis,224
hacerte,224
supuesto,224
radio,223
oyes,223
acabo,223
dan,223
profesores,223
borja,222
benjamín,222
conseguido,222
nicole,222
perfectamente,221
pones,221
samu,221
siéntate,220
disparos,220
ganar,220
estaban,220
gustan,220
vengo,220
ramón,219
salva,219
salga,219
realidad,219
eras,219
luz,219
aire,219
información,219
vuelve,219
inspectora,218
estará,218
lu,217
decisión,217
clases,217
sigues,217
sandra,217
sorpresa,217
eran,217
decía,217
murió,217
haría,216
decirle,216
vos,216
zapata,215
quiera,215
cena,215
cenar,215
allá,215
sexo,215
calle,215
quizá,214
debes,214
principio,214
chon,213
otras,213
cree,213
cuarto,213
tiro,212
partir,212
droga,212
querido,212
fuiste,211
triste,211
mayor,211
ejemplo,210
palabra,210
piso,210
banco,210
ocho,210
siquiera,209
peligro,209
tira,209
cova,209
coña,209
patrick,209
broma,208
cámara,208
dando,208
darte,207
vuelva,207
guay,206
atención,205
mentira,205
anabel,205
compañeros,205
nota,205
vuestro,205
quedas,204
muerta,204
palermo,204
abogado,204
pelo,204
camino,204
tonto,204
quino,203
pobre,203
pongo,203
españa,203
asco,203
dile,202
vicky,202
acción,202
pitido,202
prisa,202
adolfo,202
director,201
bonita,200
coger,200
saliva,200
merece,200
vis,200
error,200
continúa,200
durante,199
huevos,199
tendría,198
nosotras,198
duele,198
carla,198
querer,197
vino,197
nuestros,197
alto,197
ocurre,196
tensa,196
traído,196
jodido,195
regalo,195
najwa,195
jode,195
bajo,194
guerra,194
vuelvas,194
genial,194
rehenes,194
confiar,194
intentar,193
dolor,193
caja,192
ustedes,192
sabías,192
sentir,192
cruz,192
sientes,191
fuego,191
encanta,191
thomas,190
hablo,190
colega,190
recuerdo,190
alumno,190
dirección,190
estefanía,190
sino,190
jugando,189
gay,189
cámaras,189
mola,188
tíos,188
preguntas,187
chavales,187
golpes,187
estaría,187
prefiero,187
medina,186
cielo,186
sacado,186
vuestra,186
máquina,186
vea,185
victoria,185
hacéis,185
obra,185
amigas,185
trato,185
quedo,184
rubia,184
abrir,184
gana,184
edad,184
sala,184
mujeres,184
basta,184
intentado,183
llevado,183
empresa,183
siguiente,182
podríamos,182
philip,182
caer,182
éste,182
tonta,182
insiders,182
montón,182
ten,181
sueño,180
listo,180
media,180
toques,180
funciona,180
ayudarte,179
haz,179
hala,179
intentando,179
fama,179
ellas,179
quede,178
habías,178
ferreiro,178
madrid,178
irme,177
culpable,177
tania,176
daniel,176
llamas,176
equipo,175
acá,175
embarazada,175
parar,174
llevamos,174
especial,174
ello,174
suficiente,174
gusto,173
silencio,173
terminado,173
sepa,173
enamorado,173
pongas,172
enfermedad,172
decirme,172
solos,172
mejores,172
escucha,172
echado,172
papeles,171
minuto,171
viva,171
semanas,171
pasadizos,171
tanta,170
cayetana,170
cambiado,170
secreto,170
sirenas,170
cadáver,169
gracia,169
cualquiera,169
oeste,169
zona,168
benigna,168
verme,168
goya,168
den,168
lengua,168
andrés,168
daniela,168
enfermo,168
sigo,168
conversaciones,167
viaje,167
duro,167
nuestras,167
últimamente,167
estudiar,167
vuelvo,167
des,166
compañero,165
entra,164
estuvo,164
tose,164
javier,164
entendido,163
decidido,163
palacios,163
barco,163
fatal,162
chista,162
respeto,162
hablan,162
celda,162
comida,162
presas,161
tuve,161
llega,161
carraspea,161
coge,161
tontería,161
guardia,160
hacia,160
futuro,160
cita,160
asunto,160
sepas,159
tonterías,159
muertos,159
trae,159
mencía,159
solloza,159
gandía,158
confianza,158
tarjeta,158
trata,158
quita,157
leo,157
inspector,157
viendo,157
olvidado,157
exactamente,156
sal,156
haré,156
salvar,156
carta,156
colegas,155
permiso,155
saberlo,155
personal,155
tendrá,155
lisboa,155
cumpleaños,155
tuvo,155
ninguno,155
tomado,155
suspense,155
ajá,154
camilo,154
cero,154
pedirte,154
saúl,154
ojalá,154
chino,154
conversación,153
estuve,153
cierra,153
melancólica,153
programa,152
venía,152
agente,152
papel,151
pasos,151
creía,151
cuadro,151
mes,151
bajar,151
grupo,150
mm,150
laguna,150
quieto,150
antonia,150
gritan,150
nowa,150
perro,150
sirve,149
robado,149
país,149
hostias,149
lee,149
próxima,148
rojas,148
hacerle,148
herido,147
dejamos,147
pequeña,147
enterado,147
mando,147
pablo,147
dejó,147
hayas,146
jamás,146
cuello,146
drogas,146
pie,146
preocupa,146
deje,146
podías,145
entrado,145
tirar,144
doctor,144
polvo,144
ponte,144
mirar,144
vivido,144
nano,144
hacerme,144
quédate,143
negra,143
caído,143
intento,143
darme,143
uy,142
vista,142
niñas,142
pedro,142
tamayo,142
ocurra,141
libertad,141
alcohol,141
viste,141
aseguro,141
deberíamos,141
segunda,140
frío,140
armas,140
roto,140
estudios,140
mesa,139
acabado,139
mar,139
empezamos,139
vergüenza,139
algunos,139
tono,138
verano,138
atraco,138
largo,138
conocer,138
mónica,138
encantado,137
señores,137
libro,137
holgado,137
gustado,137
entender,137
empieza,137
jorge,137
seguimos,137
puertas,136
existe,136
encuentro,136
supone,136
busca,136
teníamos,136
mire,135
preguntar,135
vueltas,135
matrimonio,135
contacto,135
vienen,135
cogido,135
cuántos,134
fuga,134
ésta,134
ojo,134
amaia,134
señal,133
cine,133
macho,133
presa,133
grave,133
internet,133
árabe,133
ex,132
irte,132
solas,132
aguanta,132
película,132
verónica,132
asesinato,131
grito,131
altagracia,130
verlo,130
hubieras,130
proyecto,130
dímelo,130
llorar,130
cargo,130
enrique,130
risa,129
llaves,129
locura,129
quedamos,129
confía,128
yolanda,128
vio,128
hielo,128
repente,128
solución,128
enterar,127
arteaga,127
zorra,127
elegir,127
alfonso,127
pillado,127
corriendo,127
peligroso,127
brazos,127
viejo,126
gnomo,126
cuidar,126
robar,126
alarma,126
pastillas,126
exhala,126
imagino,126
marcha,126
segundos,126
alejandro,126
vuestros,126
estuviera,125
rebeka,125
musical,125
control,125
llave,125
dormido,125
íbamos,125
open,124
ilusión,124
esperaba,124
acabe,124
carmen,124
jon,124
besos,124
vosotras,124
suéltame,124
susana,123
virus,123
resulta,123
interesa,123
fútbol,123
orfanato,123
playa,123
haberte,123
enhorabuena,123
pasas,122
cocina,122
habían,122
sirena,122
metes,122
sol,122
sara,122
suárez,122
nueve,122
llorando,122
ey,121
susto,121
juntas,121
bailar,121
copa,121
zurbarán,121
gruñe,120
según,120
escapar,120
ayudarme,120
ponga,120
cayetano,120
manda,120
arte,120
violeta,120
aislamiento,119
necesitaba,119
preparado,119
realmente,119
salió,119
vengas,119
estaré,119
idiota,119
opción,118
salida,118
pequeño,118
ayúdame,118
solamente,118
casualidad,118
tendremos,118
pinta,118
poniendo,118
daba,118
abierta,117
perdone,117
vive,117
hambre,117
operación,117
pitidos,117
diría,117
olaya,117
félix,117
egipcio,116
aplausos,116
increíble,116
pudo,116
aparece,116
quedarme,116
negocio,115
entere,115
echo,115
ése,115
don,115
phillipe,115
civil,115
planes,115
crío,115
canta,115
excusa,115
traer,115
escuchar,114
acabas,114
meto,114
asiente,114
legal,114
pazo,114
dejaste,114
evitar,114
cae,114
tardes,114
banda,114
tirado,114
soldado,114
reloj,113
vacaciones,113
estarás,113
propia,113
saco,113
partes,113
pidiendo,112
cuántas,112
papás,112
metros,112
debajo,112
real,112
alegría,112
encerrado,112
ordenador,112
ante,112
agujero,112
abierto,111
veas,111
parecer,111
sueños,111
narices,111
huy,111
cuestión,111
tendrías,111
dejé,111
juicio,110
arreglar,110
colchón,110
consejo,110
ciudad,110
xavi,109
parecía,109
incluso,109
respiración,109
comprar,109
lleno,109
christian,109
sofía,109
menudo,109
partido,108
hubiese,108
motor,108
tierra,108
agradezco,108
habíamos,108
hicieron,107
mami,107
monstruo,107
valiente,107
bogotá,107
serie,107
socorro,107
precio,107
cuesta,107
pasará,107
muero,107
luna,107
español,106
nerviosa,106
moto,106
ganado,106
siente,106
monterroso,106
leche,106
harto,106
oír,106
reunión,105
suyo,105
puedas,105
iban,105
notas,105
estemos,105
abuela,105
hagamos,105
informe,105
cabrones,105
hotel,105
enseguida,105
valerio,105
conoce,104
trabajando,104
pueblo,104
truenos,104
normas,104
aparte,104
órdenes,104
pasamos,104
alternativa,104
algunas,104
beca,103
depende,103
descansar,103
salud,103
contando,103
debemos,103
salimos,103
pegado,103
trampa,103
puso,103
muere,103
hará,103
quitado,103
total,103
página,102
nervioso,102
piscina,102
hagan,102
duda,102
subir,102
tendré,102
novios,102
serán,102
vítores,102
urgente,102
ricardo,102
olvidar,102
habrás,102
llego,102
celso,102
conocemos,102
explicar,102
acaban,101
enteras,101
beber,101
tras,101
opinión,101
hazlo,101
valbuena,101
palabras,101
responsable,101
despierta,101
mataron,101
ambos,101
fuerza,100
terminar,100
exámenes,100
llevan,100
saliendo,100
recuerda,100
extraña,100
abuelo,100
biblioteca,100
dejarlo,100
llegue,100
pidió,100
divertido,100
detenido,100
inaudible,100
odio,100
darío,99
ok,99
liado,99
estupendo,99
ponen,99
mires,99
pide,99
pasaba,99
frente,99
repito,99
fueron,98
quiénes,98
quieta,98
jairo,98
mirando,98
sobra,98
feo,98
leer,98
gordo,98
ayude,98
llevaba,98
ducha,98
permitir,98
encargo,98
herida,97
vean,97
moscú,97
común,97
gustas,97
entera,97
armario,97
hiciera,97
encontré,97
teatro,97
llegó,97
desaparecido,97
tocar,97
cobarde,97
pude,97
nacho,97
cuente,97
quedarte,97
filosofía,97
mata,96
pasan,96
disparar,96
sales,96
empezó,96
tranquilos,96
megafonía,96
hables,96
recuperar,96
deseo,96
noticias,95
ottox,95
malas,95
barrio,95
wulf,95
encuentras,95
intensifica,95
diré,94
quitar,94
cerrar,94
alguno,94
suelta,94
francés,94
precisamente,94
inocente,94
jueza,94
apoyo,94
contenta,94
escrito,94
gorda,94
complicado,94
investigación,94
casar,94
doctora,94
mato,93
uh,93
tenían,93
huele,93
formas,93
norte,93
aprender,93
traigo,93
nivel,93
diferente,93
creí,93
derretido,93
hubo,92
marsella,92
creéis,92
claxon,92
noticia,92
sabrás,92
mandado,92
antonio,92
pides,92
follar,92
ayudo,92
mereces,92
mayores,92
malos,92
posibilidad,91
prisión,91
cerveza,91
putas,91
prefieres,91
equivocado,91
serás,91
llena,91
cuentes,91
alta,91
cañón,91
calla,91
puerto,91
llamando,90
hermanos,90
bomba,90
sierra,90
respuesta,90
placer,90
charla,90
mmm,90
sur,90
encontramos,90
haberme,90
momentos,90
bala,89
haremos,89
sentimientos,89
recibido,89
dijeron,89
hicimos,89
carajo,89
piernas,89
vente,89
creen,89
menor,89
contrario,89
dejan,89
sean,89
profe,89
siga,89
sensación,89
encantada,88
justicia,88
señorita,88
putos,88
garrido,88
corto,88
llamadas,88
cagado,88
abogada,88
infierno,88
negocios,88
cliente,88
habido,88
botella,88
escuchado,88
felices,88
cerrado,87
tantas,87
vieja,87
pensabas,87
joaquín,87
oyen,87
pedí,87
miras,87
pies,87
despedida,87
dirás,87
gimnasio,87
autobús,87
luis,87
b,86
cerrada,86
denuncia,86
hable,86
tomando,86
harta,86
verle,86
repetir,86
come,86
saca,86
lobo,86
entrada,86
ininteligibles,86
flores,86
you,86
damos,86
aguantar,86
matarme,86
harías,86
joven,86
intriga,85
sube,85
cerebro,85
pared,85
nacional,85
comisaría,85
bárbara,85
encuentra,85
creas,85
robo,85
helicóptero,85
vestido,85
encantaría,85
comido,85
intentarlo,85
éramos,85
veremos,85
enfermería,85
varios,85
relájate,85
explicación,85
mentir,85
comprado,84
entiende,84
pesado,84
azucena,84
fueras,84
ambulancia,84
mínimo,84
santa,84
guste,84
rico,84
mirad,84
bum,84
verla,84
agitada,84
ridículo,84
inmediatamente,84
date,84
podrás,84
necesario,84
fábrica,84
riesgo,83
irnos,83
patio,83
mono,83
preguntado,83
pasillo,83
rania,83
digamos,83
pudiera,83
libros,83
dramática,83
cuéntame,82
bolsa,82
enfadado,82
santos,82
tele,82
dieron,82
seamos,82
vibración,82
abriéndose,82
pendiente,82
público,82
aquel,81
tocado,81
correr,81
blanco,81
imagen,81
perdiendo,81
bienvenida,81
esfuerzo,81
llevó,81
deben,81
cien,81
club,81
espí,81
empezado,81
teniente,81
empiezo,81
experiencia,81
alegra,81
memoria,81
decías,81
buscas,81
marrón,80
datos,80
simplemente,80
mete,80
vero,80
esperas,80
nuevos,80
vuelves,80
polla,80
profundamente,80
completamente,80
traes,80
motivo,79
virgen,79
mías,79
espalda,79
dígame,79
maricón,79
decisiones,79
jadeos,79
salgo,79
paga,79
vender,79
decirlo,79
guau,79
fernando,79
iré,79
propio,79
metas,79
seguramente,79
expulsión,79
mendoza,79
locos,79
silba,79
mataste,79
limpio,79
horrible,79
premio,78
quedó,78
motivos,78
últimos,78
pareces,78
conocido,78
dura,78
montado,78
podrá,78
secretos,78
movida,78
peli,78
ocurrido,78
faltaba,78
hayan,78
contento,78
hacías,78
probar,78
tigre,78
vuestras,78
netflix,78
veía,77
entero,77
televisión,77
llegas,77
interior,77
gobernador,77
diste,77
yendo,77
llanto,77
empezando,77
césar,77
posición,77
prohibido,77
abrazo,77
médicos,77
prometido,77
malcom,76
vidas,76
decírselo,76
sergio,76
embarazo,76
basura,76
quisiera,76
pelotas,76
verde,76
tronco,76
eva,76
tienda,76
invitado,76
alboroto,76
voces,76
defensa,76
enamorada,76
responsabilidad,76
sonando,76
nariz,76
casas,76
suya,75
piensan,75
castin,75
piense,75
podré,75
nieto,75
objetivo,75
putada,75
lleve,75
calles,75
firma,75
haberlo,75
fíjate,74
rehén,74
entrando,74
pesada,74
mandar,74
cafetería,74
fría,74
tuviera,74
tías,74
sienta,74
celebrar,74
harás,74
echa,74
pega,74
llame,74
freddy,74
asuntos,74
exacto,74
rastro,74
luisa,74
casado,74
pegar,74
compañera,74
pillar,74
silla,74
usar,74
sinceramente,74
creído,73
llámame,73
mensajes,73
tercer,73
cambia,73
disculpe,73
veis,73
parecido,73
billetes,73
brazo,73
explosión,73
vendrá,73
mismos,73
bar,73
acerques,73
bella,73
cole,73
preocupe,73
olvídate,73
importantes,73
intenta,73
montar,73
recuerdas,73
molesta,73
traje,73
navidad,73
trabaja,73
estocolmo,72
fuese,72
déjala,72
próximo,72
contarte,72
italiano,72
voto,72
disculpas,72
gustar,72
desaparecer,72
dientes,72
cosita,72
caro,72
negro,72
valor,72
protocolo,72
paliza,72
traidor,72
alba,72
varias,72
ventana,71
jugado,71
coges,71
animal,71
tengan,71
llegamos,71
rebe,71
volverá,71
movidas,71
paciencia,71
dejarte,71
hazme,71
ponerte,71
alumna,71
correcto,71
turno,71
respirar,71
cartas,71
análisis,71
vayan,71
relaciones,71
aumento,71
resultados,71
descubierto,71
busco,71
cuernos,71
reina,71
cadáveres,70
pa,70
secuestro,70
prensa,70
parecen,70
cumplir,70
suspiro,70
nuevas,70
chocolate,70
levantar,70
perfecta,70
estén,70
vivos,70
interesante,70
irse,70
piel,70
visita,70
clínica,70
estarán,70
decidir,70
cerdo,70
directamente,70
conviene,70
flaca,70
hecha,70
guarda,69
gracioso,69
demostrar,69
tantos,69
instrumental,69
pazos,69
contarme,69
ininteligible,69
literatura,69
ayudas,69
salen,69
educación,69
apuntes,69
galería,69
lástima,69
mercedes,69
irá,69
baile,69
cortado,69
callar,69
isadora,69
sonido,69
hijas,69
tuviste,69
cansado,69
m,68
módulo,68
huir,68
pienses,68
despacio,68
grabación,68
taxi,68
mofa,68
tomamos,68
murillo,68
salvo,68
perros,68
huellas,68
ama,68
dispuesto,68
aquella,68
código,68
felicidades,68
recoger,68
grado,68
seré,68
mantener,68
calma,68
toque,68
montoya,68
elegido,68
recuerdos,68
totalmente,68
túnel,68
tercera,68
tendrán,67
entró,67
doble,67
murmullos,67
fumar,67
llamaba,67
temo,67
rodillas,67
funcionario,67
leído,67
porfa,67
mirado,67
fuertes,67
pesadilla,67
perímetro,67
concurso,67
i,66
metálico,66
movimiento,66
pulso,66
colgado,66
temprano,66
ladridos,66
pagado,66
test,66
ayudes,66
limpiar,66
medicación,66
chasquea,66
miranda,66
pregunto,66
cayó,66
tararea,66
tranquilízate,66
max,66
cojo,66
cura,66
buscamos,66
intentó,66
perdí,66
suicidio,66
notificación,66
hierro,66
estudiando,65
creemos,65
tv,65
quejido,65
salgas,65
destino,65
romper,65
avión,65
siguen,65
imaginas,65
prieto,65
acercándose,65
pago,65
digan,65
díselo,65
imagínate,65
víctima,65
géminis,65
meterte,65
pedirle,65
nombres,65
pesar,65
china,65
necesitar,64
suda,64
escapado,64
entierro,64
desastre,64
falsa,64
anillo,64
medidas,64
vega,64
mintiendo,64
militares,64
carretera,64
pata,64
muevas,64
averiguar,64
caye,64
hum,64
pecho,64
olvida,64
desayuno,64
echas,64
carrera,64
lárgate,64
necesitan,63
id,63
jo,63
millán,63
pases,63
tiros,63
ayudarle,63
presento,63
absolutamente,63
marica,63
declaración,63
preciosa,63
excursión,63
riendo,63
sincero,63
mentiras,63
llegué,63
isla,63
camiseta,63
amistad,63
cable,63
noel,63
policías,63
zahir,63
dudas,63
parque,63
dueño,63
orgulloso,62
maté,62
vendría,62
conocí,62
uf,62
míos,62
crisis,62
disculpa,62
estrategia,62
londres,62
sexual,62
espérate,62
corta,62
tenés,62
inteligencia,62
cáncer,62
celoso,62
explicaciones,62
rojo,62
olvides,62
escondido,62
débil,62
aceptar,62
mirada,62
puse,62
teniendo,62
rey,62
volvemos,62
pequeños,62
merezco,62
errores,62
original,62
fuimos,62
alison,62
firmar,62
quedarse,62
estabais,62
vendido,62
fianza,61
manila,61
luchar,61
nazis,61
quedé,61
millón,61
déjate,61
podamos,61
importancia,61
divorcio,61
preparada,61
restaurante,61
oferta,61
metiendo,61
botón,61
dejando,61
quietos,61
jodida,61
pasé,61
acaso,61
puntos,61
gustaba,61
invito,61
poca,61
conocerte,61
pasara,61
pan,61
sorbe,61
mueve,61
acabamos,61
psiquiátrico,61
sigas,61
inteligente,61
intención,61
escuchando,60
quiso,60
explosivos,60
enfadada,60
vayamos,60
moneda,60
versión,60
capullo,60
contó,60
termina,60
línea,60
sencillo,60
ocurrió,60
apertura,60
cumple,60
junto,60
sabido,60
devolver,60
negociar,60
jefa,60
solucionar,60
espere,60
avisar,60
números,60
condena,60
acompaño,60
estilo,60
sufrir,60
libres,60
consigo,60
hablemos,60
durmiendo,59
sientas,59
remedio,59
votar,59
silbato,59
créeme,59
